sentence	emotion
I'm too old to be traded in .	6
Mother said you could always tell a lady by her hands .	8
I always said I'd leave off when the time came .	6
He'll be safe with me .	2
Lay off .	1
You tell him to take care of you .	8
I hope so .	4
Why do you want to shut me out in the cold like this ?	6
You taught me a lesson , man .	8
I'll do everything I can to make a success of it .	2
But it was worth it .	5
I hope I never wake up .	6
Alright , here's how it works ....	2
Flo , being a parent is about sharing .	8
He looks like a drunk .	3
... Primitive	3
Hello . - Never , ever pick up the phone .	1
[PERSON] , could I have a word with you ?	4
I'm not resigning my senior partnership the day after what happened , happened , if that's what you're asking .	2
It's OK .	8
Why don't you sit down and try not to waste my time ?	1
Find someone to type this .	8
You're too nice .	8
It's time to update the program and I would like to hear from each one of you .	2
I've lost another man and that bastard thinks it's funny .	3
I hope you know that .	5
Don't you like children ?	7
Let's see !	2
Just to tell you that I'm happy .	5
It was just fine .	5
Good game tonight , guys .	5
You were terribly in love with her .	8
As she told me of all the things that they did to protect children .	2
We weren't even sure others existed .	4
You're beginning to realize maybe the public knows more about public relations than you do .	5
We don't need you here !	1
The opera starts an hour later tonight on account of the parade .	2
Listen , buddy , you're getting by pretty easy .	8
Mr. [PERSON] is a wonderful teacher .	5
But I don't think you have to worry about this one .	8
You got it ? - Yeah , I think so .	8
We don't need any rush - hour Rambos there .	1
I am afraid to have said some things to [PERSON] what she will not forgive so early .	6
Harry , you got a nice shop here .	5
There's no bloody exits .	1
Oh , God ...	6
It's people who should be blamed for the filth , not the river .	3
When's the next ferry ?	2
It's a matter of life and death .	4
That was pretty fancy wrestling , kid .	5
It can't be so hard to die .	3
He lost all his patients , he didn't wan na go to the office .	6
Tell [PERSON] I'm coming home .	2
And may the best man win .	8
Why you drinkin' that cold coffee ?	7
That's gonna be hard .	4
I'm sentimental about old people .	6
Not right away ! That wouldn't be fair .	4
Today , the captain ordered a general drill for the safety of the crew .	8
Will you arrange a conference for us ?	8
Too much time !	4
Nail it .	8
An ordinary vessel would've suffered heavy damage .	5
I Iove you , [PERSON] .	5
Course they gave him a big hunk of money for a settlement . Don't nobody know how much it was .	3
Hey , come on , [PERSON] .	1
What are they fighting about ?	1
I will not be held accountable to [PERSON] for my actions ... or for those of my people .	1
[PERSON] goes on wherever he's going .	2
You think I got potential ?	2
They're having a nice little game up there with that telephone .	5
You were unavailable for consultation .	1
